"a-size-base",a-link-normal href,"a-link-normal href 2","a-size-base 2","a-link-normal href 3","a-size-base 3","a-link-normal href 4","a-size-base 4","a-link-normal href 5","a-size-base 5"
"Up to 3.9 MP","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_fourteen_browse-bin%3A21329551031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=21345983031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_fourteen_browse-bin_1&ds=v1%3Alj8FBZPkYbfyB5DGs6yhgRS5dQBTBovHNIUsY2oGnnI","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_fourteen_browse-bin%3A21329552031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=21345983031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_fourteen_browse-bin_2&ds=v1%3ApesFH2WM1keNzxFJc6Fh0jidlQEGIV4EEuRF4kBRo1I","4 - 7.9 MP","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_fourteen_browse-bin%3A21329553031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=21345983031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_fourteen_browse-bin_3&ds=v1%3Anm61OjPvQaqK0qoX61mx%2FAmnWDzidkpHKgkZWJpiY6w","8 - 11.9 MP","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_fourteen_browse-bin%3A21329554031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=21345983031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_fourteen_browse-bin_4&ds=v1%3ABpLXJe4lRC%2FZW19RYyQRFFF6wNF%2FniBx032oQBdWn4k","12 - 15.9 MP","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_fourteen_browse-bin%3A21329555031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=21345983031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_fourteen_browse-bin_5&ds=v1%3AyX5scVkYYzps3EYTJd%2BE%2Fr55LwbrbdP3DWfsSmk9Ds8","16 - 19.9 MP"
"Mobile Phone Human Interface Input","","","","","","","","",""
"Buttons","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_nineteen_browse-bin%3A27362063031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27362059031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_nineteen_browse-bin_1&ds=v1%3AwCRi1HGktW9fIaSoArOmAiKZxiQ%2Br4Bj%2FPr%2BuXbHP4k","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_nineteen_browse-bin%3A27362072031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27362059031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_nineteen_browse-bin_2&ds=v1%3A5HYDeqQtjGSDQAnMlH%2BtWbCj5gMq%2F%2B%2F18aOAeJIFqn4","Dial","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_nineteen_browse-bin%3A27362071031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27362059031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_nineteen_browse-bin_3&ds=v1%3An0iFfcU5VefamPxTYWPCWyjNDIRAU4COKGdl25J1nFQ","OCR","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_nineteen_browse-bin%3A27362069031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27362059031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_nineteen_browse-bin_4&ds=v1%3AaQJY2DpcSx%2B7WU%2Bx7RMF6%2FZ3PFel72E7xI6C0Kh4YxE","Keyboard","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_nineteen_browse-bin%3A27362068031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27362059031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_nineteen_browse-bin_5&ds=v1%3A%2BAIfCui0BHp6mvaKP4Mq8y4MMOpyA%2BSzJ5GgRE9VM8M","Keypad"
"SIM Card Slot Count","","","","","","","","",""
"Single SIM","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_fifteen_browse-bin%3A27179458031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27179439031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_fifteen_browse-bin_1&ds=v1%3AHY1D9OqtLkJW2kNcfq%2FIAQdDUb%2B0oBVmNDhqtF30TgQ","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_fifteen_browse-bin%3A27179459031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27179439031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_fifteen_browse-bin_2&ds=v1%3AW8hYT43ZcPt9PYxxguKdcJHGRCdpA7WV7%2ByDUhk53fg","Dual SIM","","","","","",""
"Cell Phone Connector Type","","","","","","","","",""
"3.5 mm Jack","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-two_browse-bin%3A27403492031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27403487031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-two_browse-bin_1&ds=v1%3AUFyhxtD2loxqIK3%2F3doPqZAjaLc864ntdDTVMg%2B1E%2BU","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-two_browse-bin%3A27403489031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27403487031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-two_browse-bin_2&ds=v1%3AHrtVOr76aLgPcx1Nb7kAqz4dw8ACcNphxBIlzgNCx8w","Lightning","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-two_browse-bin%3A27403488031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27403487031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-two_browse-bin_3&ds=v1%3AY2awi6QocIWPCKuhhMtW6cc5Cfnt3PLMDRQbymwFf9A","Micro USB","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-two_browse-bin%3A27403490031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27403487031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-two_browse-bin_4&ds=v1%3ADAr8GQS%2FFTIFuMm3n2CyaFMMrGe7hZ86eVnd0Enlon8","Mini USB","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-two_browse-bin%3A27403491031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27403487031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-two_browse-bin_5&ds=v1%3AqlvOjTMc9PawGN3fofR5KK6VFEXcIOmgnMrfF7O28d4","USB Type C"
"Mobile Phone Resolution","","","","","","","","",""
"1080 x 2160","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_seventeen_browse-bin%3A27345203031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27345181031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_seventeen_browse-bin_1&ds=v1%3AH4ttjTxFtcd3acceRQQjInkD1yhgpSMN4qWk7USzrwI","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_seventeen_browse-bin%3A27345227031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27345181031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_seventeen_browse-bin_2&ds=v1%3A6NklKk%2BgvP89DjiMzFhBlQRC%2BxtVbmLXb4WQA8DebNg","1080 x 2340","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_seventeen_browse-bin%3A27345186031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27345181031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_seventeen_browse-bin_3&ds=v1%3AIUPpgVcon%2F41nhnftjwJC5Kw37ob%2BlICrQp7n3G4IuA","1080 x 2400","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_seventeen_browse-bin%3A27345189031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27345181031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_seventeen_browse-bin_4&ds=v1%3A1WOTOs4GvhzAhrUcCWNhkh%2FRAdSHEpZ1DYe9bJgmQrw","1280 x 720","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_seventeen_browse-bin%3A27345245031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=27345181031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_seventeen_browse-bin_5&ds=v1%3Ai1iBiyQrRbGyyp04eB5hzmeDyLr7NOEa2eTnscEBDic","1334 x 750"
"Device Features","","","","","","","","",""
"Dual SIM","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_three_browse-bin%3A1897963031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=1484941031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_three_browse-bin_1&ds=v1%3AbsBAZzRix390g%2B8efoIHgkBAquzFqP10t63EEaHXKnk","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_three_browse-bin%3A1484944031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=1484941031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_three_browse-bin_2&ds=v1%3A%2F9M3eKCrFHHnKOWeJvo78QBLZ6V%2FdSx9FP4TQ7I5rMQ","E-Mail","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_three_browse-bin%3A1484945031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=1484941031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_three_browse-bin_3&ds=v1%3AZZ9GnvuiACe%2FH%2BqaUAK5WLgduz7n4g9AD5d%2FB71%2F%2Bhc","GPS","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_three_browse-bin%3A1897958031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=1484941031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_three_browse-bin_4&ds=v1%3APHvUapIuyqZPnocjY4Uc%2BMrM9aTRW9teOgW4tFOtWvo","Hotspot","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_three_browse-bin%3A1484946031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=1484941031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_three_browse-bin_5&ds=v1%3A0lFG8tcNINk8no2Fd%2Bd%2B1cFo%2B6mBfyfvh%2B94jlZGIhI","Internet"
"Video Capture Resolution","","","","","","","","",""
"1080p","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-four_browse-bin%3A28430295031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=28430291031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-four_browse-bin_1&ds=v1%3ADJ7Sm05AL5ojj00vmCNwcdIvvLarUZ01c8ifePfXI6U","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-four_browse-bin%3A28430294031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=28430291031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-four_browse-bin_2&ds=v1%3AQrOxpWOwQEUIlNbI9gyi4n4%2BUc26I6ip7zanu6pzwOY","4k","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-four_browse-bin%3A28430293031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=28430291031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-four_browse-bin_3&ds=v1%3AE2OCV4v5OWJlZnlleX6GSHWjbL95MmpYT3WZJt16ijI","720p","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-four_browse-bin%3A28430296031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=28430291031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-four_browse-bin_4&ds=v1%3AxMLo65dJj8Y1iNg12JAhuO0JgH5s0%2Foxoz0b1z6N8Ak","8k","",""
"Lens Type","","","","","","","","",""
"Macro","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-six_browse-bin%3A35171092031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=35171067031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-six_browse-bin_1&ds=v1%3AFzz1G6m4rWiXsDj8fXfwlg9mlGRXIRKa44EQ0kauvxA","","","","","","","",""
"Cellular Phone Photo Sensor Resolution","","","","","","","","",""
"Up to 9.9 MP","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_five_browse-bin%3A42253779031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=42253749031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_five_browse-bin_1&ds=v1%3AVVwrWdNKXhojc9DaDtg%2FWx5EgAUkE9gUKwMyl2OXtfI","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_five_browse-bin%3A42253777031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=42253749031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_five_browse-bin_2&ds=v1%3A13DpO3U0gYcykgG3rKFxD2fYwJ1MPxraHyYdwLvKfJg","10 to 12.9 MP","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_five_browse-bin%3A42253776031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=42253749031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_five_browse-bin_3&ds=v1%3AFIwibDl%2FqMSCFCwvtbMLQ8zzeEcZuKzopNqzSfJwAnE","13 to 15.9 MP","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_five_browse-bin%3A42253778031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=42253749031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_five_browse-bin_4&ds=v1%3A7DlpHiTZZQi88WwS1yCFigtAlpzMOGGqm6TRJTm%2FQss","16 MP & Above","",""
"Cellular Phone Battery Average Life","","","","","","","","",""
"Up to 6.9 h","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_four_browse-bin%3A42062133031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=42062008031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_four_browse-bin_1&ds=v1%3Ad3gDkO9MvYaLaXCRnikRcoSS6bE7php9osUg81qQTbw","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_four_browse-bin%3A42062131031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=42062008031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_four_browse-bin_2&ds=v1%3AcE2bazIBk%2FmA0DsLFxWBVMIrujyZM17VPuGmCPqrfEA","7 to 12.9 h","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_four_browse-bin%3A42062132031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=42062008031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_four_browse-bin_3&ds=v1%3AeN2R3ZLs1F7D0PQn2m7eaRrG5oYqPqSRs9GCdRWnAiA","13 to 18.9 h","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_four_browse-bin%3A42062130031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=42062008031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_four_browse-bin_4&ds=v1%3A9ayrSy6W87w7%2F6078JKH%2BqfuHSPAMyN7CuFCfBzM35s","19 h & above","",""
"Cellular Technology","","","","","","","","",""
"2G","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-five_browse-bin%3A33962380031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=33962288031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-five_browse-bin_1&ds=v1%3AYpDClVCG4Q1TDa4UPTdAezcUFYeI%2BJIr40%2FuqGTP%2Bnc","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-five_browse-bin%3A33962381031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=33962288031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-five_browse-bin_2&ds=v1%3ALCrHSLDvlog8WeWa%2B%2BkQrqM%2FSVkfN79Y7bf2qHOn9iw","3G","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-five_browse-bin%3A33962379031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=33962288031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-five_browse-bin_3&ds=v1%3AY9YAWi9P1hw0madRb%2FCUhnSVHCK1oEjZQADUEdhmz4U","4G","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_twenty-five_browse-bin%3A33962382031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=33962288031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_twenty-five_browse-bin_4&ds=v1%3AvnBtqxZlnAg%2BopT8ytag0Fi5D2NgIXQ9WzIFRoMB5M8","5G","",""
"Mobile Phone Installed RAM Size","","","","","","","","",""
"Up to 1.9 GB","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirty_browse-bin%3A44897294031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=44897277031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirty_browse-bin_1&ds=v1%3AiHNvoEImEt81tWAn%2B%2FWkL4OB%2BbeGBbjRK9ITjykY6YY","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirty_browse-bin%3A44897290031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=44897277031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirty_browse-bin_2&ds=v1%3AGuWr0QKJPGy3iqGG%2BDOYe5AQ7iTvIBrulUNlHQHeD4I","2 to 3.9 GB","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirty_browse-bin%3A44897296031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=44897277031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirty_browse-bin_3&ds=v1%3A5LDRDG4BPccRu2cIuKab%2BbdflnWno0gMABBO%2FyfrNX8","4 to 5.9 GB","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirty_browse-bin%3A44897287031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=44897277031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirty_browse-bin_4&ds=v1%3Aqs9xD80lD7fi9T3kM3c7FUBz3xCcmMhvmilKi2%2BFuOY","6 to 7.9 GB","https://www.amazon.in/s?k=mobiles&rh=p_n_feature_thirty_browse-bin%3A44897288031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=44897277031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_feature_thirty_browse-bin_5&ds=v1%3ATEVM07bimDuBGFCLiK85%2BrzH5Gj%2BoOV9csbLZRQtlMA","8 to 9.9 GB"
"New Arrivals","","","","","","","","",""
"Last 30 days","https://www.amazon.in/s?k=mobiles&rh=p_n_date_first_available_absolute%3A1318487031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=1318486031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_date_first_available_absolute_1&ds=v1%3ASTVCjvwRwwCo0ypimKVKeCg4uU3MZVzpAbFeZUNIIhg","https://www.amazon.in/s?k=mobiles&rh=p_n_date_first_available_absolute%3A1318488031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=1318486031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_date_first_available_absolute_2&ds=v1%3AHVMhFlsbdEFxbNtZBSMCSq87vziigxkBVGd%2FIAEHbuQ","Last 90 days","","","","","",""
"Item Condition","","","","","","","","",""
"New","https://www.amazon.in/s?k=mobiles&rh=p_n_condition-type%3A8609960031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=8609959031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_condition-type_1&ds=v1%3AA7kxTYLNe8H6sWxNehphp7PTdoD9RKgwESnoBw5SiC0","https://www.amazon.in/s?k=mobiles&rh=p_n_condition-type%3A13736826031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=8609959031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_condition-type_2&ds=v1%3Aasr7lO0G6Vc4vUeqneT%2BL6qGuwVXIU37zB1%2F3sQTs4w","Renewed","https://www.amazon.in/s?k=mobiles&rh=p_n_condition-type%3A8609962031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=8609959031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_condition-type_3&ds=v1%3AMp5M8ZaKR%2FJ9cLWo61UbTxiJyMNvD%2FR%2FJnCx3ja2JJo","Used","","","",""
"Discount","","","","","","","","",""
"10% Off or more","https://www.amazon.in/s?k=mobiles&rh=p_n_pct-off-with-tax%3A2665399031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=2665398031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_pct-off-with-tax_1&ds=v1%3APgvUXDHTGhPkEXw0hj9vCS2I6HlF36EgP1uaTLltEZw","https://www.amazon.in/s?k=mobiles&rh=p_n_pct-off-with-tax%3A2665400031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=2665398031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_pct-off-with-tax_2&ds=v1%3AB9f09ob2JgVXqOJr52dOuZzA%2BVbOe59jlPwFC6FaRtA","25% Off or more","https://www.amazon.in/s?k=mobiles&rh=p_n_pct-off-with-tax%3A2665402031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=2665398031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_pct-off-with-tax_3&ds=v1%3AkLxf8tKLfOMi4fqUvUBGGjmITKwb2Y99n0b3%2BvJPa9g","35% Off or more","https://www.amazon.in/s?k=mobiles&rh=p_n_pct-off-with-tax%3A2665401031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=2665398031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_pct-off-with-tax_4&ds=v1%3Ajai%2BpHQysyVy0%2BFooKCEb%2BPmOq5Lq%2FvU6%2BqEhHXZEA8","50% Off or more","https://www.amazon.in/s?k=mobiles&rh=p_n_pct-off-with-tax%3A27060456031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=2665398031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_pct-off-with-tax_5&ds=v1%3AKdLemwV%2FCMQzVNzRavKcVPWuF1KqxbgGED5ejDoG6r8","60% Off or more"
"Availability","","","","","","","","",""
"Include Out of Stock","https://www.amazon.in/s?k=mobiles&rh=p_n_availability%3A1318485031&dc&crid=W3L9BCC7A335&qid=1692448784&rnid=1318483031&sprefix=mobile%2Caps%2C206&ref=sr_nr_p_n_availability_2&ds=v1%3A%2BceBJVZ8B6t5PZJ6iUrwZKAIjqQMuZJD6WhLPb31P5Q","","","","","","","",""
